0	2	2833
1	2	1984
2	0	2541
2	1	989
3	0	2541
3	1	3464
4	2	1795
5	2	1516
6	2	3146
7	2	695
8	2	2643
9	0	2472
9	1	989
10	2	744
11	2	401
12	2	2695
13	2	1573
14	2	1248
15	2	3393
16	0	2541
16	1	720
17	0	2541
17	1	669
18	2	1365
19	0	2641
19	1	669
20	2	1488
21	0	1182
21	1	2495
22	2	784
23	2	2192
24	2	3136
25	2	2845
26	2	2244
27	2	3416
28	2	1662
29	2	3213
30	2	456
31	0	2541
31	1	1365
32	0	2641
32	1	720
33	2	1818
34	2	2859
35	2	2881
36	0	2472
36	1	720
37	2	49
38	0	1974
38	1	291
39	0	1974
39	1	2495
40	2	621
41	2	1674
42	2	2719
43	2	1529
44	0	2317
44	1	3464
45	0	2641
45	1	1488
46	2	1019
47	0	636
47	1	3464
48	0	1498
48	1	989
49	2	2426
50	2	2960
51	2	2548
52	0	636
52	1	989
53	2	2769
54	2	3457
55	0	2541
55	1	2866
56	0	2975
56	1	3464
57	2	17
58	2	1502
59	2	2102
60	0	2541
60	1	695
61	0	2472
61	1	648
62	2	3293
63	2	1176
64	0	2641
64	1	1582
65	0	1891
65	1	1365
66	2	1839
67	2	2812
68	0	2641
68	1	498
69	2	220
70	2	2143
71	2	2850
72	2	1932
73	2	2607
74	0	2641
74	1	3213
75	2	3365
76	0	2299
76	1	989
77	2	1579
78	0	2541
78	1	1653
79	0	636
79	1	498
80	2	185
81	0	2094
81	1	3213
82	0	1891
82	1	183
83	0	436
83	1	3393
84	2	752
85	0	1971
85	1	498
86	0	1891
86	1	1488
87	0	1776
87	1	2643
88	2	452
89	0	2472
89	1	1621
90	0	1712
90	1	989
91	0	1971
91	1	1023
92	0	2541
92	1	1342
93	0	2641
93	1	1342
94	2	2506
95	2	2582
96	2	3097
97	2	3334
98	2	2976
99	0	2541
99	1	182
100	0	1971
100	1	1365
101	0	2641
101	1	1023
102	0	3486
102	1	3464
103	0	636
103	1	1582
104	2	2193
105	0	3384
105	1	1739
106	0	2317
106	1	989
107	0	2541
107	1	49
108	0	2242
108	1	1488
109	0	636
109	1	2833
110	0	1677
110	1	720
111	2	533
112	0	2472
112	1	2495
113	2	1885
114	2	414
115	2	2121
116	2	559
117	0	2041
117	1	1621
118	2	2051
119	0	3256
119	1	669
120	2	1589
121	0	2541
121	1	456
122	0	636
122	1	648
123	2	1281
124	0	2307
124	1	3464
125	0	2541
125	1	1589
126	2	1331
127	0	1971
127	1	1582
128	2	2030
129	0	1891
129	1	291
130	2	2280
131	2	2408
132	0	2307
132	1	3393
133	2	2110
134	0	2641
134	1	1472
135	2	860
136	0	3088
136	1	989
137	0	2472
137	1	1699
138	2	594
139	2	1983
140	0	2541
140	1	1699
141	2	743
142	2	2640
143	0	2320
143	1	1488
144	0	1498
144	1	1984
145	2	2178
146	0	2541
146	1	1318
147	2	2352
148	2	2357
149	0	3035
149	1	1488
150	2	1171
151	0	2797
151	1	669
152	2	18
153	2	942
154	0	3219
154	1	3464
155	0	2541
155	1	2444
156	0	2541
156	1	1009
157	0	2299
157	1	2833
158	0	1974
158	1	498
159	2	652
160	0	1677
160	1	3464
161	0	636
161	1	3393
162	0	2641
162	1	695
163	2	2651
164	0	3384
164	1	3464
